district,week,offplan_secondary_share_pct,offplan_secondary_share_pre_pct,delta_pp
Al Reem Island,2026-03-23,2.5974025974025974,2.3408732246186217,0.2565293727839757
Al Reem Island,2026-03-30,2.380952380952381,2.3408732246186217,0.04007915633375925
Al Reem Island,2026-04-06,1.8518518518518516,2.3408732246186217,-0.48902137276677005
Al Reem Island,2026-04-13,1.5037593984962405,2.3408732246186217,-0.8371138261223812
Al Reem Island,2026-04-20,1.0204081632653061,2.3408732246186217,-1.3204650613533155
Al Reem Island,2026-04-27,0.0,2.3408732246186217,-2.3408732246186217
Al Reem Island,2026-05-04,2.8169014084507045,2.3408732246186217,0.4760281838320828
Al Reem Island,2026-05-11,5.405405405405405,2.3408732246186217,3.0645321807867836
Al Reem Island,2026-05-18,3.205128205128205,2.3408732246186217,0.8642549805095832
Al Reem Island,2026-05-25,3.571428571428571,2.3408732246186217,1.2305553468099495
Al Reem Island,2026-06-01,0.0,2.3408732246186217,-2.3408732246186217
Al Saadiyat Island,2026-02-23,0.0,11.06651376146789,-11.06651376146789
Al Saadiyat Island,2026-03-02,3.684210526315789,11.06651376146789,-7.382303235152101
Al Saadiyat Island,2026-03-09,10.81081081081081,11.06651376146789,-0.2557029506570796
Al Saadiyat Island,2026-03-16,93.75,11.06651376146789,82.68348623853211
Al Saadiyat Island,2026-03-23,52.94117647058824,11.06651376146789,41.87466270912035
Al Saadiyat Island,2026-03-30,37.86407766990291,11.06651376146789,26.797563908435023
Al Saadiyat Island,2026-04-06,30.158730158730158,11.06651376146789,19.09221639726227
Al Saadiyat Island,2026-04-13,43.61702127659575,11.06651376146789,32.55050751512786
Al Saadiyat Island,2026-04-20,53.84615384615385,11.06651376146789,42.77964008468596
Al Saadiyat Island,2026-04-27,63.41463414634146,11.06651376146789,52.348120384873575
Al Saadiyat Island,2026-05-04,81.48148148148148,11.06651376146789,70.41496772001359
Al Saadiyat Island,2026-05-11,20.454545454545457,11.06651376146789,9.388031693077567
Al Saadiyat Island,2026-05-18,28.000000000000004,11.06651376146789,16.93348623853211
Al Saadiyat Island,2026-05-25,50.0,11.06651376146789,38.93348623853211
Al Saadiyat Island,2026-06-01,75.0,11.06651376146789,63.93348623853211
Al Shamkha,2026-02-23,0.0,15.060240963855422,-15.060240963855422
Al Shamkha,2026-03-02,100.0,15.060240963855422,84.93975903614458
Al Shamkha,2026-03-09,100.0,15.060240963855422,84.93975903614458
Al Shamkha,2026-03-16,100.0,15.060240963855422,84.93975903614458
Al Shamkha,2026-03-23,94.73684210526315,15.060240963855422,79.67660114140773
Al Shamkha,2026-03-30,94.73684210526315,15.060240963855422,79.67660114140773
Al Shamkha,2026-04-06,100.0,15.060240963855422,84.93975903614458
Al Shamkha,2026-04-13,87.5,15.060240963855422,72.43975903614458
Al Shamkha,2026-04-20,36.53846153846153,15.060240963855422,21.478220574606112
Al Shamkha,2026-04-27,93.75,15.060240963855422,78.68975903614458
Al Shamkha,2026-05-04,70.0,15.060240963855422,54.93975903614458
Al Shamkha,2026-05-11,66.66666666666666,15.060240963855422,51.60642570281124
Al Shamkha,2026-05-18,25.0,15.060240963855422,9.939759036144578
Al Shamkha,2026-05-25,100.0,15.060240963855422,84.93975903614458
Fahid Island,2026-02-23,0.0,0.0,0.0
Fahid Island,2026-03-02,0.0,0.0,0.0
Fahid Island,2026-03-09,0.0,0.0,0.0
Fahid Island,2026-03-23,0.0,0.0,0.0
Fahid Island,2026-03-30,0.0,0.0,0.0
Fahid Island,2026-04-06,0.0,0.0,0.0
Fahid Island,2026-04-13,0.0,0.0,0.0
Fahid Island,2026-04-20,2.272727272727273,0.0,2.272727272727273
Fahid Island,2026-04-27,0.0,0.0,0.0
Fahid Island,2026-05-11,0.0,0.0,0.0
Fahid Island,2026-05-18,0.0,0.0,0.0
Ghantout,2026-03-02,0.0,0.3502626970227671,-0.3502626970227671
Ghantout,2026-03-16,0.0,0.3502626970227671,-0.3502626970227671
Ghantout,2026-03-23,0.0,0.3502626970227671,-0.3502626970227671
Ghantout,2026-04-06,0.0,0.3502626970227671,-0.3502626970227671
Ghantout,2026-04-13,50.0,0.3502626970227671,49.649737302977236
Ghantout,2026-04-20,0.0,0.3502626970227671,-0.3502626970227671
Ghantout,2026-04-27,0.0,0.3502626970227671,-0.3502626970227671
Ghantout,2026-05-04,0.0,0.3502626970227671,-0.3502626970227671
Ghantout,2026-05-11,0.0,0.3502626970227671,-0.3502626970227671
Ghantout,2026-05-18,0.0,0.3502626970227671,-0.3502626970227671
Hudayriyat Island,2026-03-02,0.0,0.676818950930626,-0.676818950930626
Hudayriyat Island,2026-03-09,0.0,0.676818950930626,-0.676818950930626
Hudayriyat Island,2026-03-16,0.6578947368421052,0.676818950930626,-0.018924214088520852
Hudayriyat Island,2026-03-23,100.0,0.676818950930626,99.32318104906938
Hudayriyat Island,2026-03-30,1.2195121951219512,0.676818950930626,0.5426932441913251
Hudayriyat Island,2026-04-06,66.66666666666666,0.676818950930626,65.98984771573603
Hudayriyat Island,2026-04-13,6.8181818181818175,0.676818950930626,6.141362867251192
Hudayriyat Island,2026-04-20,0.0,0.676818950930626,-0.676818950930626
Hudayriyat Island,2026-04-27,0.5747126436781609,0.676818950930626,-0.10210630725246517
Hudayriyat Island,2026-05-04,7.59493670886076,0.676818950930626,6.918117757930134
Hudayriyat Island,2026-05-11,3.225806451612903,0.676818950930626,2.548987500682277
Hudayriyat Island,2026-05-18,5.88235294117647,0.676818950930626,5.205533990245844
Hudayriyat Island,2026-06-01,0.0,0.676818950930626,-0.676818950930626
Yas Island,2026-02-23,1.4598540145985401,12.961268679475449,-11.501414664876908
Yas Island,2026-03-02,5.670103092783505,12.961268679475449,-7.291165586691943
Yas Island,2026-03-09,47.2972972972973,12.961268679475449,34.33602861782185
Yas Island,2026-03-16,96.875,12.961268679475449,83.91373132052455
Yas Island,2026-03-23,48.837209302325576,12.961268679475449,35.87594062285012
Yas Island,2026-03-30,65.359477124183,12.961268679475449,52.39820844470755
Yas Island,2026-04-06,31.03448275862069,12.961268679475449,18.07321407914524
Yas Island,2026-04-13,50.943396226415096,12.961268679475449,37.98212754693965
Yas Island,2026-04-20,51.28205128205128,12.961268679475449,38.32078260257583
Yas Island,2026-04-27,51.162790697674424,12.961268679475449,38.20152201819897
Yas Island,2026-05-04,32.83582089552239,12.961268679475449,19.87455221604694
Yas Island,2026-05-11,12.592592592592592,12.961268679475449,-0.36867608688285713
Yas Island,2026-05-18,16.77018633540373,12.961268679475449,3.80891765592828
Yas Island,2026-05-25,40.0,12.961268679475449,27.03873132052455
Yas Island,2026-06-01,4.545454545454546,12.961268679475449,-8.415814134020902
Zayed City,2026-03-02,100.0,25.220264317180618,74.77973568281938
Zayed City,2026-03-09,100.0,25.220264317180618,74.77973568281938
Zayed City,2026-03-16,100.0,25.220264317180618,74.77973568281938
Zayed City,2026-03-23,100.0,25.220264317180618,74.77973568281938
Zayed City,2026-03-30,100.0,25.220264317180618,74.77973568281938
Zayed City,2026-04-06,15.686274509803921,25.220264317180618,-9.533989807376697
Zayed City,2026-04-13,91.66666666666666,25.220264317180618,66.44640234948604
Zayed City,2026-04-20,65.0,25.220264317180618,39.77973568281938
Zayed City,2026-04-27,78.94736842105263,25.220264317180618,53.72710410387201
Zayed City,2026-05-04,50.0,25.220264317180618,24.779735682819382
Zayed City,2026-05-11,21.12676056338028,25.220264317180618,-4.093503753800338
Zayed City,2026-05-18,9.090909090909092,25.220264317180618,-16.129355226271528
Zayed City,2026-06-01,0.0,25.220264317180618,-25.220264317180618
