district,ptype,layout,n_pre,psm_pre,psm_pre_mean,psm_pre_std,sqm_med,price_pre,n_post,psm_post,price_post,n_ctrl,psm_ctrl,naive_change_pct,seasonal_change_pct,excess_change_pct,vol_pre_monthly,vol_post_monthly,vol_change_ratio,regime_class
Al Raha Beach,duplex,1 bed,15,20737.73245765641,18675.477063015125,4099.625359639698,144.65,2999713.0,16,21021.053747667687,3042272.0,0,,1.3662115209065462,,1.3662115209065462,1.25,5.12,4.096,resilient
Yas Island,townhouse / attached villa,3 beds,91,15492.082975328341,16245.701983306495,3852.566336698285,166.68,3258089.69,33,16000.595370990548,3650000.0,34,15479.072051061741,3.282401704612803,-0.08398434405058053,3.3663860486633834,7.583333333333333,10.56,1.3925274725274726,resilient
Al Shamkha,apartment,2 beds,87,12087.542087542088,12237.728256477689,1793.6971823538129,96.62,1230000.0,38,12689.496480779642,950000.0,4,11440.61210766179,4.97995695798199,,4.97995695798199,7.25,12.16,1.677241379310345,resilient
Al Jubail Island,villa,4 beds,60,16674.027627223622,17789.574972118615,4744.77765576648,355.58000000000004,6300000.0,23,17243.078135776923,6500000.0,15,16323.865491348351,3.4127957640193385,-2.1000453142080877,5.512841078227426,5.0,7.36,1.472,resilient
Zayed City,apartment,1 bed,112,16788.17769058296,16000.71804612553,1899.306143860247,62.44,1045817.89,20,17766.191251974917,1075768.38,7,14230.5931470906,5.825608826743323,,5.825608826743323,9.333333333333334,6.4,0.6857142857142857,resilient
Yas Island,villa,4 beds,93,16154.005501117414,16765.143445177986,3795.2907544067575,232.77,4450000.0,35,18902.77956781372,4600000.0,31,17923.20595601921,17.01605256050065,10.952085256993493,6.063967303507157,7.75,11.2,1.4451612903225806,resilient
Fahid Island,apartment,3 beds,166,39847.50959459234,39630.585154116554,4012.4534789603063,229.56,9288712.0,58,42332.077055547976,10370862.5,0,,6.235188814140624,,6.235188814140624,13.833333333333334,18.56,1.3416867469879517,resilient
Yas Island,apartment,3 beds,354,19882.328161424186,19818.723748875662,5965.130460844018,165.59,3233475.0,82,21154.359327883576,4190058.0,64,19885.16647622873,6.397797864172627,0.014275565625410103,6.383522298547217,29.5,26.24,0.8894915254237288,resilient
Fahid Island,apartment,1 bed,401,38994.992893844974,39345.4508448351,5625.820571190028,89.95,3590600.0,81,41689.51023829482,3731700.0,0,,6.909905976352038,,6.909905976352038,33.416666666666664,25.92,0.7756608478802993,resilient
Zayed City,villa,4 beds,44,14555.236097916273,14489.212046979392,1029.6145364765432,315.78,4596252.455,28,16036.321119513286,5050860.295,12,14772.904379631389,10.1756166072019,1.4954637647291547,8.680152842472744,3.6666666666666665,8.96,2.443636363636364,resilient
Al Jubail Island,villa,3 beds,37,17054.39916039881,17282.856305323723,4106.048207503458,208.95,3700000.0,12,18706.925467061417,3900000.0,7,13038.086802480071,9.689736302759089,,9.689736302759089,3.0833333333333335,3.84,1.2454054054054053,resilient
Yas Island,townhouse / attached villa,4 beds,19,12569.26499775914,13934.289643191858,2620.334136087921,312.38,3926387.0,22,13851.532436297452,4261839.5,3,12494.125744285806,10.201610346881186,,10.201610346881186,1.5833333333333333,7.04,4.446315789473684,resilient
Zayed City,apartment,2 beds,165,14767.298520117156,14665.651016960095,1603.3446117421677,106.74,1681870.1,30,15536.08177927606,1771552.6949999998,11,13978.61909529444,5.205984412867459,-5.340715661353467,10.546700074220926,13.75,9.6,0.6981818181818181,resilient
Zayed City,apartment,studio,60,18269.829286247164,17797.064877715853,2108.1005079161387,34.17,636768.425,11,20203.122329528826,695144.61,4,13199.110854365299,10.581888932793525,,10.581888932793525,5.0,3.52,0.704,resilient
Al Raha Beach,apartment,studio,29,18014.660132111658,18938.736451961024,2722.685178769099,51.03,948710.0,17,20011.89652964528,1456977.0,1,16471.245114461195,11.086728158548432,,11.086728158548432,2.4166666666666665,5.44,2.251034482758621,resilient
Zayed City,townhouse / attached villa,3 beds,236,16146.195140760563,16015.322803007652,1222.0585066659003,151.91,2501729.165,41,16840.57588165368,2600000.0,27,14639.776171601772,4.300584347207437,-9.329869706305505,13.630454053512942,19.666666666666668,13.12,0.6671186440677965,resilient
Al Shamkha,apartment,studio,97,14438.027543314083,13949.76521743542,2012.9463611322803,36.95,550000.0,126,15604.175921812528,595000.0,11,13554.702495201536,8.07692307692307,-6.1180451793887425,14.194968256311812,8.083333333333334,40.32,4.988041237113402,resilient
Zayed City,apartment,3 beds,65,13004.842945662536,12927.10175229815,1565.6273242066259,167.72,2305928.92,13,14863.24376199616,2496000.0,9,12407.043346052944,14.290067354896042,,14.290067354896042,5.416666666666667,4.16,0.768,resilient
Zayed City,townhouse / attached villa,2 beds,203,15997.088489900609,15960.644214588458,1311.2127591233616,124.76,1984830.88,46,16905.911411266614,2100000.0,30,14414.128564743442,5.681177058811482,-9.895300173881838,15.57647723269332,16.916666666666668,14.72,0.8701477832512315,resilient
Hudayriyat Island,apartment,1 bed,57,21583.98719801776,21306.857968075255,2255.6072280123794,101.4,2175000.0,166,25169.337448342325,2332000.0,0,,16.611158158275032,,16.611158158275032,4.75,53.12,11.183157894736842,resilient
Hudayriyat Island,apartment,3 beds,42,18998.30359062567,19213.20841726867,1768.510060662944,232.55,4413435.0,108,22268.061119909522,4745000.0,0,,17.21078681413033,,17.21078681413033,3.5,34.56,9.874285714285715,resilient
Al Reef,townhouse / attached villa,3 beds,53,10051.694428489374,9910.26627507505,1317.0015881713146,174.1,1750000.0,14,11286.616886846641,1965000.0,15,9477.311889718552,12.285714285714299,-5.714285714285716,18.000000000000014,4.416666666666667,4.48,1.0143396226415096,resilient
Al Reem Island,apartment,3 beds,770,14843.56368147559,15465.435184145148,4247.766479828958,177.92000000000002,2800000.0,181,17854.857289133495,3400000.0,144,14941.89552896894,20.2868642077908,0.6624544455996473,19.624409762191153,64.16666666666667,57.92,0.9026493506493506,resilient
Al Reef,townhouse / attached villa,2 beds,94,11543.05200341006,11713.637124746454,1542.3251167918195,117.3,1320000.0,14,13533.674339300938,1587500.0,35,10741.687979539642,17.24519940915805,-6.9423929098966,24.18759231905465,7.833333333333333,4.48,0.5719148936170213,resilient
Al Raha Beach,apartment,3 beds,151,17133.49579087284,17729.95945825228,5157.234443079073,175.88,2840000.0,25,18565.70240396892,3600000.0,40,14289.816872761297,8.359103306045878,-16.597190397224093,24.95629370326997,12.583333333333334,8.0,0.6357615894039734,resilient
Yas Island,villa,5 beds,63,14211.180543827057,14447.441243388232,3647.880855701951,548.82,5265750.0,17,16551.25823340652,5150000.0,25,12954.668698060941,16.46645528401176,-8.84171333895205,25.308168622963812,5.25,5.44,1.0361904761904763,resilient
Hudayriyat Island,apartment,2 beds,112,18923.523202746008,19438.96108447495,3184.4294393450923,171.865,3295810.5,216,24076.99873310387,3609000.0,0,,27.233171514330024,,27.233171514330024,9.333333333333334,69.12,7.405714285714286,resilient
Al Reem Island,apartment,studio,705,16661.957411957414,17219.685276734643,3955.2000439607987,47.5,838850.0,276,18169.43004873763,879040.0,53,13600.0,9.047392209143347,-18.37693697236321,27.424329181506558,58.75,88.32,1.5033191489361701,resilient
Al Reem Island,apartment,1 bed,2264,16293.208890136739,16821.640579256615,4638.681758741079,80.35,1280500.0,763,18001.171522979876,1576000.0,317,13415.101571483328,10.482665780324396,-17.664459702567868,28.147125482892264,188.66666666666666,244.16,1.2941342756183747,resilient
Yas Island,apartment,1 bed,1159,20329.82655672448,20525.699664734006,4727.092614490788,74.26,1604789.0,698,24690.35632202478,1943896.5,180,18750.089354498414,21.448927530854768,-7.770539496823892,29.21946702767866,96.58333333333333,223.36,2.312614322691976,resilient
Al Raha Beach,apartment,1 bed,158,18122.9556307397,17272.016620598508,2416.450988762447,86.05,1500000.0,137,20207.329421240363,1870455.0,30,14649.805274510698,11.501290589517321,-19.164370464704618,30.66566105422194,13.166666666666666,43.84,3.3296202531645576,resilient
Al Reef,apartment,1 bed,64,8703.097081596188,8939.918539786133,1516.1538915714175,76.475,655000.0,12,11276.184955886165,845000.0,19,8577.666874610106,29.56519788491272,-1.4412134647023622,31.00641134961508,5.333333333333333,3.84,0.72,resilient
Yas Island,apartment,2 beds,1092,20148.15663687069,20862.902994051707,5270.128493886798,120.43,2525500.0,462,24766.030474467938,3085146.0,149,18320.699126092382,22.91958475817404,-9.070097794624555,31.989682552798595,91.0,147.84,1.6246153846153846,resilient
Yas Island,apartment,studio,782,22613.513211407804,23741.93936330517,7181.741433898999,43.48,1000000.0,346,29175.259363298042,1241051.0,128,21650.05057611339,29.016924926906285,-4.260561489438874,33.277486416345155,65.16666666666667,110.72,1.6990281329923271,resilient
Al Reem Island,apartment,2 beds,2016,15448.331499191021,16045.55063025645,4503.0144936975385,126.03999999999999,2003469.5,731,19244.76438000137,2674145.32,272,13828.971225724334,24.57503505157923,-10.482428303351,35.057463354930235,168.0,233.92,1.3923809523809523,resilient
Al Raha Beach,apartment,2 beds,355,15820.34264546998,17778.83587078928,6267.0374606055575,133.73,2224000.0,105,18759.119016188422,3208536.0,94,12916.874357295055,18.575933761838815,-18.352752233253987,36.928685995092806,29.583333333333332,33.6,1.135774647887324,resilient
Hudayriyat Island,villa,4 beds,430,19173.8962883134,20114.913543993316,4592.645047592906,374.3,7272393.5,139,20150.823792999807,7685000.0,15,12247.92936536393,5.095091211491787,-36.12185451931794,41.21694573080973,35.833333333333336,44.48,1.241302325581395,resilient
Yas Island,townhouse / attached villa,2 beds,63,14620.868302130408,16498.861773471228,4398.164481368271,201.24,2600000.0,17,20174.30600387347,2574090.54,10,13672.87267938138,37.98295413777764,-6.483853100645842,44.466807238423485,5.25,5.44,1.0361904761904763,resilient
Al Saadiyat Island,apartment,2 beds,701,28875.578295303065,33614.39124632503,16535.90489437966,141.78,3900216.0,311,40675.397166165734,5879600.0,238,26408.382533708347,40.86435516611642,-8.544229786026602,49.408584952143016,58.416666666666664,99.52,1.7036233951497861,resilient
Al Reef,apartment,2 beds,149,7631.403224267862,8077.71634541589,1285.2546356041355,106.44,850000.0,28,11032.08864500472,1195000.0,52,7076.260876695608,44.5617315819806,-7.274446536999923,51.83617811898053,12.416666666666666,8.96,0.7216107382550336,resilient
Al Saadiyat Island,apartment,1 bed,647,26361.740384615383,31000.626543043767,12594.740139514153,84.08,2260000.0,277,39988.590075391025,3561781.0,233,25216.404143607208,51.69176803944333,-4.344691299959047,56.03645933940238,53.916666666666664,88.64,1.6440185471406492,resilient
Al Saadiyat Island,apartment,3 beds,316,26454.989294568404,34057.757583401595,17488.21996709797,209.57,4994642.5,105,41363.50510884052,11173110.0,64,24739.278508163952,56.3542689368355,-6.485395882419476,62.83966481925498,26.333333333333332,33.6,1.2759493670886077,resilient
Al Maryah Island,apartment,3 beds,57,27540.193670944725,32328.838641846214,10711.992953739697,202.2,5449000.0,16,44707.65137338222,12315393.0,37,26651.43331948484,62.33600935257544,-3.227139075632357,65.5631484282078,4.75,5.12,1.0778947368421052,resilient
Al Maryah Island,apartment,1 bed,144,18903.799591574792,25712.1786076145,15312.051028267582,66.72,1200000.0,53,43188.82490552456,4814554.0,52,28367.081113084663,128.46637098699105,50.06020866687324,78.40616232011782,12.0,16.96,1.4133333333333333,resilient
Al Maryah Island,apartment,2 beds,100,15962.27023279141,25451.750110454723,14779.210437706697,115.61,1845000.0,35,46305.77536515753,8886681.09,32,31041.35916359164,190.09517249013385,94.46706960156047,95.62810288857338,8.333333333333334,11.2,1.3439999999999999,resilient
Al Maryah Island,duplex,2 beds,44,12595.948516358105,24674.85488022057,23243.84755569882,136.03,1735000.0,10,49942.562098799885,10621853.0,10,11842.558926686172,296.49703262870986,-5.981205692398007,302.4782383211079,3.6666666666666665,3.2,0.8727272727272728,resilient
Al Reem Island,apartment,4 beds,171,13993.069892473119,14665.176691933988,3157.215707112977,221.0,3050000.0,25,15069.462365591398,3469700.0,39,16363.198757763976,7.692325425296942,16.937876273781427,-9.245550848484484,14.25,8.0,0.5614035087719298,soft
Zayed City,villa,3 beds,61,16674.85994512231,15704.709120928293,2284.8128657631655,171.29,3033693.63,60,16099.61478576215,4032909.315,2,12937.1180760891,-3.449775058101323,,-3.449775058101323,5.083333333333333,19.2,3.777049180327869,soft
Fahid Island,apartment,studio,185,42219.50942539178,42005.26620447614,4165.859002746746,46.04,1956731.0,20,43582.1773361262,1963082.5,0,,3.2275787409194345,,3.2275787409194345,15.416666666666666,6.4,0.41513513513513517,stable/up
Ghantout,villa,4 beds,252,23387.908295095276,24278.48165281839,2979.7209216799347,374.0,8477500.0,14,26413.30264282479,9254750.0,0,,12.935720071914147,,12.935720071914147,21.0,4.48,0.21333333333333335,stable/up
Ghantout,villa,3 beds,212,18225.84227403422,20059.022233991494,3787.278674595339,244.11,4783000.0,11,23474.88302286572,5318000.0,0,,28.799989980762874,,28.799989980762874,17.666666666666668,3.52,0.1992452830188679,stable/up
Al Maryah Island,apartment,studio,378,16814.175652086375,16491.096637042017,4352.890439256009,33.74,656000.0,23,23298.217179902756,1000000.0,65,16336.532570961812,38.56294630187127,-2.84071661321853,41.403662915089804,31.5,7.36,0.23365079365079366,stable/up
