district,ptype,layout,tier,n_post_ready,psm_post_ready,sqm_med,price_med,all_in_entry,gross_yield_pct,service_charge_aed,net_yield_pct,stress_net_yield_pct,source,regime_class,excess_change_pct,naive_change_pct,vol_change_ratio,n_post,distress_count,dump_signal_pp,s_yield,s_stress_yield,s_panic,s_distress,s_liquidity,s_supply_inv,total
Al Raha Beach,apartment,2 beds,midtier,34,17222.876133767222,132.755,2394500.0,2490280.0,6.4,25721.546759999997,4.690199224183625,3.831737685722087,Bayut H1 2025 estimate,resilient,36.928685995092806,18.575933761838815,1.135774647887324,105.0,0,0.0,72.70075601659694,72.78450959294199,0,0.0,12.383488681757656,65.50280466179176,40.51653257827532
Al Saadiyat Island,apartment,studio,midtier,6,21909.201459262265,49.34,1100000.0,1144000.0,6.0,9559.723680000001,4.5297444335664325,3.7249367412587406,Sands of Wealth 2025,panic distribution,-23.03230003338004,9.485775830582966,1.2622222222222221,71.0,0,31.935009027963176,69.40114236541946,70.2038470838079,100,0.0,7.8561917443408795,0.0,52.13653894663111
Al Reem Island,apartment,3 beds,midtier,58,15792.73977564921,156.26,2500000.0,2600000.0,6.3,30275.687519999996,4.4692043261538466,3.624156249230769,Bayut H1 2025 approx,resilient,19.624409762191153,20.2868642077908,0.9026493506493506,181.0,4,-0.4073960422541094,68.15618754609658,67.76865853060245,0,100.0,22.503328894806923,66.33842626291269,54.49633055919131
Al Raha Beach,apartment,3 beds,midtier,7,16604.780084723603,178.58,3175000.0,3302000.0,5.8,34600.23216,4.138681642640823,3.3607008734100536,Bayut H1 2025 estimate,resilient,24.95629370326997,8.359103306045878,0.6357615894039734,25.0,0,0.0,61.35927513015448,61.40270910359451,0,0.0,1.7310252996005324,65.50280466179176,34.34157190072475
Al Saadiyat Island,apartment,1 bed,midtier,16,18076.714355588552,84.7,1500000.0,1560000.0,5.8,16410.7944,4.134564461538462,3.356583692307692,MPInvestments 2025,resilient,56.03645933940238,51.69176803944333,1.6440185471406492,277.0,0,31.935009027963176,61.274608870471816,61.303224450461826,0,0.0,35.28628495339547,0.0,31.106494824050365
Al Maryah Island,apartment,1 bed,midtier,8,21645.468527109522,65.44,1375000.0,1430000.0,5.5,12679.130879999999,4.031616721678322,3.293876337062937,Bayut 2025 estimate,resilient,78.40616232011782,128.46637098699105,1.4133333333333333,53.0,0,16.795592130989444,59.15757785822363,59.78800825513474,0,0.0,5.459387483355526,31.0528882840635,30.366702172479204
Al Maryah Island,apartment,2 beds,luxury,11,53851.80303030303,174.0,10662657.0,11089163.280000001,5.0,52442.208,3.998239824817512,3.3275667478944353,Bayut 2025 estimate,resilient,95.62810288857338,190.09517249013385,1.3439999999999999,35.0,0,16.795592130989444,58.47121091279151,60.60207952189223,0,0.0,3.062583222370173,31.0528882840635,30.043222352764655
Yas Island,villa,4 beds,midtier,8,21677.894875190766,253.715,5895000.0,6130800.0,5.2,49157.78868,3.8481831297709914,3.1506831297709925,MPInvestments 2025,resilient,6.063967303507157,17.01605256050065,1.4451612903225806,35.0,0,24.149779064852726,55.385425081645245,56.327988837911256,0,0.0,3.062583222370173,15.968506446145724,26.96793481703185
Al Maryah Island,apartment,studio,luxury,21,23322.299127294613,49.12,1000000.0,1040000.0,5.8,14804.375039999999,3.7630408615384607,2.985060092307692,Bayut 2025 estimate,stable/up,41.403662915089804,38.56294630187127,0.23365079365079366,23.0,0,16.795592130989444,53.63454815567972,52.32599086328534,0,0.0,1.4647137150466045,31.0528882840635,27.191023276107728
Al Jubail Island,villa,4 beds,luxury,7,22554.070416181952,384.07,9500000.0,9880000.0,4.8,115755.62543999999,3.1206920502024293,2.4768458963562754,Inferred from Saadiyat villa comp,resilient,5.512841078227426,3.4127957640193385,1.472,23.0,0,-16.818642350557244,40.4252017812319,40.04586236169096,0,0.0,1.4647137150466045,100.0,28.280911260127873
Al Saadiyat Island,apartment,2 beds,luxury,7,23756.182266009848,167.15,4482303.0,4661595.12,2.5,50377.67279999999,1.154880905873267,0.8195443674117284,Sands of Wealth 2025,resilient,49.408584952143016,40.86435516611642,1.7036233951497861,311.0,0,31.935009027963176,0.0,0.0,0,0.0,39.81358189081225,0.0,3.9813581890812255
