district,ptype,layout,n_pre,psm_pre,psm_pre_mean,psm_pre_std,sqm_med,sqm_p10,sqm_p90,price_pre,n_post,psm_post,n_ctrl,psm_ctrl,naive_change_pct,seasonal_change_pct,excess_change_pct,vol_pre_monthly,vol_post_monthly,vol_change_ratio,window_label,regime_class
Yas Island,townhouse / attached villa,2 beds,63,14620.868302130408,16498.861773471228,4398.164481368271,201.24,123.92,214.44,2600000.0,17,20174.30600387347,10,13672.87267938138,37.98295413777764,-6.483853100645842,44.466807238423485,5.25,5.44,1.0361904761904763,raw_pivot,resilient
Yas Island,townhouse / attached villa,3 beds,91,15492.082975328341,16245.701983306495,3852.566336698285,166.68,160.78,278.29,3258089.69,33,16000.595370990548,34,15479.072051061741,3.282401704612803,-0.08398434405058053,3.3663860486633834,7.583333333333333,10.56,1.3925274725274726,raw_pivot,resilient
Yas Island,townhouse / attached villa,4 beds,19,12569.26499775914,13934.289643191858,2620.334136087921,312.38,307.68,332.168,3926387.0,22,13851.532436297452,3,12494.125744285806,10.201610346881186,,10.201610346881186,1.5833333333333333,7.04,4.446315789473684,raw_pivot,resilient
Yas Island,villa,4 beds,93,16154.005501117414,16765.143445177986,3795.2907544067575,232.77,204.14,498.558,4450000.0,35,18902.77956781372,31,17923.20595601921,17.01605256050065,10.952085256993493,6.063967303507157,7.75,11.2,1.4451612903225806,raw_pivot,resilient
Yas Island,villa,5 beds,63,14211.180543827057,14447.441243388232,3647.880855701951,548.82,288.8,594.31,5265750.0,17,16551.25823340652,25,12954.668698060941,16.46645528401176,-8.84171333895205,25.308168622963812,5.25,5.44,1.0361904761904763,raw_pivot,resilient
Zayed City,apartment,1 bed,112,16788.17769058296,16000.71804612553,1899.306143860247,62.44,58.79,86.22600000000001,1045817.89,20,17766.191251974917,7,14230.5931470906,5.825608826743323,,5.825608826743323,9.333333333333334,6.4,0.6857142857142857,raw_pivot,resilient
Zayed City,apartment,2 beds,165,14767.298520117156,14665.651016960095,1603.3446117421677,106.74,98.78,139.07399999999998,1681870.1,30,15536.08177927606,11,13978.61909529444,5.205984412867459,-5.340715661353467,10.546700074220926,13.75,9.6,0.6981818181818181,raw_pivot,resilient
Zayed City,apartment,3 beds,65,13004.842945662536,12927.10175229815,1565.6273242066259,167.72,166.93,244.35,2305928.92,13,14863.24376199616,9,12407.043346052944,14.290067354896042,,14.290067354896042,5.416666666666667,4.16,0.768,raw_pivot,resilient
Zayed City,apartment,studio,60,18269.829286247164,17797.064877715853,2108.1005079161387,34.17,34.16,47.846000000000004,636768.425,11,20203.122329528826,4,13199.110854365299,10.581888932793525,,10.581888932793525,5.0,3.52,0.704,raw_pivot,resilient
Zayed City,townhouse / attached villa,2 beds,203,15997.088489900609,15960.644214588458,1311.2127591233616,124.76,120.89,124.97,1984830.88,46,16905.911411266614,30,14414.128564743442,5.681177058811482,-9.895300173881838,15.57647723269332,16.916666666666668,14.72,0.8701477832512315,raw_pivot,resilient
Zayed City,townhouse / attached villa,3 beds,236,16146.195140760563,16015.322803007652,1222.0585066659003,151.91,151.49,171.49,2501729.165,41,16840.57588165368,27,14639.776171601772,4.300584347207437,-9.329869706305505,13.630454053512942,19.666666666666668,13.12,0.6671186440677965,raw_pivot,resilient
Zayed City,villa,3 beds,61,16674.85994512231,15704.709120928293,2284.8128657631655,171.29,171.29,253.65,3033693.63,60,16099.61478576215,2,12937.1180760891,-3.449775058101323,,-3.449775058101323,5.083333333333333,19.2,3.777049180327869,raw_pivot,soft
Zayed City,villa,4 beds,44,14555.236097916273,14489.212046979392,1029.6145364765432,315.78,315.78,316.09,4596252.455,28,16036.321119513286,12,14772.904379631389,10.1756166072019,1.4954637647291547,8.680152842472744,3.6666666666666665,8.96,2.443636363636364,raw_pivot,resilient
