district,ptype,layout,n_pre,psm_pre,psm_pre_mean,psm_pre_std,sqm_med,sqm_p10,sqm_p90,price_pre,n_post,psm_post,n_ctrl,psm_ctrl,naive_change_pct,seasonal_change_pct,excess_change_pct,vol_pre_monthly,vol_post_monthly,vol_change_ratio,window_label,excess_ci_lo,excess_ci_hi,ci_crosses_zero,regime_class
Al Raha Beach,duplex,2 beds,21,12503.146765125452,13573.965975920348,3608.039807887243,127.73,105.58,167.9,1550000.0,8,21990.10825219923,3,12289.657780298732,75.87659063185113,,75.87659063185113,1.75,4.864,2.7794285714285714,lag_adjusted,73.18590134864007,77.50310396722158,False,resilient
Al Raha Beach,duplex,3 beds,24,14813.165706558542,15018.733409218594,5132.989970306296,180.26,134.268,378.654,2771250.0,11,15092.972711905337,3,6071.164607749974,1.8889075494707308,,1.8889075494707308,2.0,6.688,3.344,lag_adjusted,-29.225512871986858,43.660781687864336,True,resilient
Al Reef,apartment,2 beds,149,7631.403224267862,8077.71634541589,1285.2546356041355,106.44,104.11,113.14,850000.0,9,10970.142134885053,52,7076.260876695608,43.75,-7.274446536999923,51.024446536999925,12.416666666666666,5.4719999999999995,0.4406979865771812,lag_adjusted,45.75196599131829,54.797666351241425,False,stable/up
Al Reef,townhouse / attached villa,2 beds,94,11543.05200341006,11713.637124746454,1542.3251167918195,117.3,111.9,117.3,1320000.0,9,13640.238704177324,35,10741.687979539642,18.16838995568686,-6.9423929098966,25.11078286558346,7.833333333333333,5.4719999999999995,0.6985531914893617,lag_adjusted,15.329418147401608,28.803545051698688,False,resilient
Al Reef,townhouse / attached villa,3 beds,53,10051.694428489374,9910.26627507505,1317.0015881713146,174.1,174.1,174.1,1750000.0,8,10769.672601952901,15,9477.311889718552,7.14285714285714,-5.714285714285716,12.857142857142856,4.416666666666667,4.864,1.1012830188679243,lag_adjusted,5.714285714285716,23.571428571428555,False,resilient
Al Reem Island,apartment,1 bed,2264,16293.208890136739,16821.640579256615,4638.681758741079,80.35,64.47,101.41,1280500.0,438,18741.55533120881,317,13415.101571483328,15.02679096291586,-17.664459702567868,32.69125066548373,188.66666666666666,266.304,1.4115053003533569,lag_adjusted,29.87399420517516,34.967672119324014,False,resilient
Al Reem Island,apartment,2 beds,2016,15448.331499191021,16045.55063025645,4503.0144936975385,126.03999999999999,72.7,156.17,2003469.5,445,19346.03337436739,272,13828.971225724334,25.23056859169859,-10.482428303351,35.712996895049585,168.0,270.56,1.6104761904761904,lag_adjusted,34.657317295314,36.55297066486358,False,resilient
Al Reem Island,apartment,3 beds,770,14843.56368147559,15465.435184145148,4247.766479828958,177.92000000000002,103.289,269.17,2800000.0,91,18640.51238738739,144,14941.89552896894,25.579764990332478,0.6624544455996473,24.917310544732832,64.16666666666667,55.327999999999996,0.8622545454545453,lag_adjusted,18.97770619118151,28.823951707340026,False,resilient
Al Reem Island,apartment,4 beds,171,13993.069892473119,14665.176691933988,3157.215707112977,221.0,162.61,248.0,3050000.0,9,16520.18325621681,39,16363.198757763976,18.05974945571469,16.937876273781427,1.121873181933264,14.25,5.4719999999999995,0.38399999999999995,lag_adjusted,-16.65374131681341,20.58139284499643,True,stable/up
Al Reem Island,apartment,studio,705,16661.957411957414,17219.685276734643,3955.2000439607987,47.5,39.44,59.62,838850.0,172,18838.285594874327,53,13600.0,13.061659738459518,-18.37693697236321,31.43859671082273,58.75,104.576,1.7800170212765956,lag_adjusted,30.181916677284104,32.507689785828255,False,resilient
Al Saadiyat Island,apartment,1 bed,647,26361.740384615383,31000.626543043767,12594.740139514153,84.08,70.44,104.22,2260000.0,99,34750.06682705159,233,25216.404143607208,31.820078341002112,-4.344691299959047,36.16476964096116,53.916666666666664,60.19199999999999,1.116389489953632,lag_adjusted,14.339735333162107,48.28977238259486,False,resilient
Al Saadiyat Island,apartment,2 beds,701,28875.578295303065,33614.39124632503,16535.90489437966,141.78,109.7,214.42,3900216.0,110,37149.462367436034,238,26408.382533708347,28.653570112148397,-8.544229786026602,37.197799898175,58.416666666666664,66.88,1.1448787446504993,lag_adjusted,25.934238834449797,51.91468525988432,False,resilient
Al Saadiyat Island,apartment,3 beds,316,26454.989294568404,34057.757583401595,17488.21996709797,209.57,154.44,282.14,4994642.5,27,41994.10195197304,64,24739.278508163952,58.73792835212011,-6.485395882419476,65.22332423453959,26.333333333333332,16.416,0.6233924050632912,lag_adjusted,61.22846822267278,71.61786694049538,False,resilient
Al Saadiyat Island,apartment,studio,216,28401.508328250806,29464.476553866778,7496.890720411705,40.09,29.92,55.165,1149143.0,36,31314.657152424028,79,37637.132352941175,10.257021530351373,32.518075863963006,-22.261054333611632,18.0,21.887999999999998,1.216,lag_adjusted,-28.349606108411198,-18.520462313887222,False,panic distribution
Al Saadiyat Island,villa,4 beds,76,16214.318686595154,18506.86681893108,7019.8529185503085,495.83,351.0,518.225,8073633.325,19,16235.403263215216,33,16188.50745215094,0.1300367719890172,-0.15918790633832058,0.2892246783273378,6.333333333333333,11.552,1.824,lag_adjusted,-1.5765524043805157,8.12548842570041,True,resilient
Al Saadiyat Island,villa,5 beds,85,17806.293818664522,21167.496519943008,9427.529111619653,576.05,513.05,579.21,10091252.5,27,17502.67951174876,25,16904.15738678545,-1.7050954567396581,-5.066390800164466,3.3612953434248083,7.083333333333333,16.416,2.3175529411764706,lag_adjusted,-0.9477739291890668,11.237054574075621,True,resilient
Al Shamkha,apartment,1 bed,116,13419.237660804101,12969.776881601203,2379.5494551599095,66.41,59.265,76.08,871843.0,19,13090.580800481492,0,,-2.4491470277970717,,-2.4491470277970717,9.666666666666666,11.552,1.1950344827586208,lag_adjusted,-3.7008293455263797,-2.0054750075741867,False,resilient
Al Shamkha,apartment,2 beds,87,12087.542087542088,12237.728256477689,1793.6971823538129,96.62,73.67,115.5,1230000.0,22,12538.051609156537,4,11440.61210766179,3.727056488008107,,3.727056488008107,7.25,13.376,1.8449655172413792,lag_adjusted,0.0,6.982647760394539,True,resilient
Al Shamkha,apartment,studio,97,14438.027543314083,13949.76521743542,2012.9463611322803,36.95,26.05,45.02,550000.0,72,15548.645046645936,11,13554.702495201536,7.692307692307687,-6.1180451793887425,13.81035287169643,8.083333333333334,43.775999999999996,5.415587628865978,lag_adjusted,10.733429794773341,18.42573748708105,False,resilient
Fahid Island,apartment,1 bed,401,38994.992893844974,39345.4508448351,5625.820571190028,89.95,73.57,101.89,3590600.0,21,39087.144739318646,0,,0.23631712339204913,,0.23631712339204913,33.416666666666664,12.767999999999999,0.3820847880299252,lag_adjusted,-1.8856410829133807,5.434749857258114,True,stable/up
Fahid Island,apartment,2 beds,312,36433.568117963136,36498.98235218869,4710.093278652996,143.85,118.37,179.63,4908989.0,30,36373.07475437128,0,,-0.16603743941848714,,-0.16603743941848714,26.0,18.24,0.7015384615384614,lag_adjusted,-4.123157651899434,3.9532448670886566,True,resilient
Fahid Island,apartment,3 beds,166,39847.50959459234,39630.585154116554,4012.4534789603063,229.56,183.35,248.18,9288712.0,17,41960.73309825432,0,,5.303276227703746,,5.303276227703746,13.833333333333334,10.335999999999999,0.7471807228915661,lag_adjusted,-10.707964563622829,9.068009284522716,True,resilient
Ghantout,villa,3 beds,212,18225.84227403422,20059.022233991494,3787.278674595339,244.11,226.54,269.43,4783000.0,8,23761.80806921515,0,,30.374265901926755,,30.374265901926755,17.666666666666668,4.864,0.2753207547169811,lag_adjusted,28.29137776007915,57.5486902641712,False,stable/up
Ghantout,villa,4 beds,252,23387.908295095276,24278.48165281839,2979.7209216799347,374.0,288.97,442.03,8477500.0,8,28782.552229113953,0,,23.06595299567682,,23.06595299567682,21.0,4.864,0.2316190476190476,lag_adjusted,4.45851422310426,25.64196150935958,False,stable/up
Hudayriyat Island,apartment,1 bed,57,21583.98719801776,21306.857968075255,2255.6072280123794,101.4,92.61,124.66,2175000.0,118,25426.879844841023,0,,17.80436863480066,,17.80436863480066,4.75,71.744,15.104,lag_adjusted,17.444644582131463,18.46963193610842,False,resilient
Hudayriyat Island,apartment,2 beds,112,18923.523202746008,19438.96108447495,3184.4294393450923,171.865,143.229,206.732,3295810.5,160,24076.99873310387,0,,27.233171514330024,,27.233171514330024,9.333333333333334,97.27999999999999,10.42285714285714,lag_adjusted,25.265114586556603,30.443108891993376,False,resilient
Hudayriyat Island,apartment,3 beds,42,18998.30359062567,19213.20841726867,1768.510060662944,232.55,190.221,257.693,4413435.0,78,23264.620484678326,0,,22.456304446875897,,22.456304446875897,3.5,47.424,13.549714285714286,lag_adjusted,19.810852474165543,23.589628034418904,False,resilient
Hudayriyat Island,villa,4 beds,430,19173.8962883134,20114.913543993316,4592.645047592906,374.3,251.51,669.36,7272393.5,57,19902.183119757367,15,12247.92936536393,3.7983246623059186,-36.12185451931794,39.92017918162386,35.833333333333336,34.656,0.9671441860465115,lag_adjusted,38.46666063198697,44.651239558873414,False,resilient
Hudayriyat Island,villa,5 beds,374,17623.02902045135,20061.164264421353,6160.3835526853745,467.7,334.51,1197.15,10427176.83,85,12377.418199035152,9,15716.341310612705,-29.765659554488167,,-29.765659554488167,31.166666666666668,51.68,1.6581818181818182,lag_adjusted,-30.112400449084177,-28.732795712391336,False,panic distribution
Yas Island,apartment,1 bed,1159,20329.82655672448,20525.699664734006,4727.092614490788,74.26,64.79,95.22,1604789.0,392,24688.136594330055,180,18750.089354498414,21.438008954208108,-7.770539496823892,29.208548451032,96.58333333333333,238.33599999999998,2.467672131147541,lag_adjusted,28.022327081803056,31.571014158201685,False,resilient
Yas Island,apartment,2 beds,1092,20148.15663687069,20862.902994051707,5270.128493886798,120.43,103.42,176.899,2525500.0,185,24479.947481499163,149,18320.699126092382,21.499688148648733,-9.070097794624555,30.56978594327329,91.0,112.47999999999999,1.236043956043956,lag_adjusted,27.65134209240523,32.9914792290712,False,resilient
Yas Island,apartment,3 beds,354,19882.328161424186,19818.723748875662,5965.130460844018,165.59,132.48600000000002,267.81,3233475.0,41,21517.761581978488,64,19885.16647622873,8.225562958604504,0.014275565625410103,8.211287392979095,29.5,24.927999999999997,0.8450169491525423,lag_adjusted,3.8483571949133655,20.028132128254317,False,resilient
Yas Island,apartment,studio,782,22613.513211407804,23741.93936330517,7181.741433898999,43.48,31.532,49.339000000000006,1000000.0,197,31043.866090712745,128,21650.05057611339,37.280155456128306,-4.260561489438874,41.54071694556718,65.16666666666667,119.776,1.8379948849104857,lag_adjusted,35.25833655062142,44.12685275872304,False,resilient
Yas Island,townhouse / attached villa,2 beds,63,14620.868302130408,16498.861773471228,4398.164481368271,201.24,123.92,214.44,2600000.0,9,20961.43096702068,10,13672.87267938138,43.366526076747355,-6.483853100645842,49.850379177393194,5.25,5.4719999999999995,1.0422857142857143,lag_adjusted,37.843625439810154,66.54407990046788,False,resilient
Yas Island,townhouse / attached villa,3 beds,91,15492.082975328341,16245.701983306495,3852.566336698285,166.68,160.78,278.29,3258089.69,14,16998.972856358258,34,15479.072051061741,9.726838433732166,-0.08398434405058053,9.810822777782747,7.583333333333333,8.511999999999999,1.1224615384615384,lag_adjusted,-0.5418052513088578,19.424944934793288,True,resilient
Yas Island,villa,4 beds,93,16154.005501117414,16765.143445177986,3795.2907544067575,232.77,204.14,498.558,4450000.0,17,19769.640708268867,31,17923.20595601921,22.38228287653703,10.952085256993493,11.430197619543536,7.75,10.335999999999999,1.3336774193548384,lag_adjusted,6.109228798824516,27.39310408170055,False,resilient
Yas Island,villa,5 beds,63,14211.180543827057,14447.441243388232,3647.880855701951,548.82,288.8,594.31,5265750.0,9,17395.710184090523,25,12954.668698060941,22.408621369930714,-8.84171333895205,31.250334708882765,5.25,5.4719999999999995,1.0422857142857143,lag_adjusted,25.308168622963812,35.60080841836315,False,resilient
Zayed City,apartment,1 bed,112,16788.17769058296,16000.71804612553,1899.306143860247,62.44,58.79,86.22600000000001,1045817.89,9,17753.558742225294,7,14230.5931470906,5.7503623647243485,,5.7503623647243485,9.333333333333334,5.4719999999999995,0.5862857142857142,lag_adjusted,-3.4974178770370457,9.747124451835987,True,resilient
Zayed City,apartment,2 beds,165,14767.298520117156,14665.651016960095,1603.3446117421677,106.74,98.78,139.07399999999998,1681870.1,8,14312.36916355693,11,13978.61909529444,-3.0806538917086623,-5.340715661353467,2.260061769644805,13.75,4.864,0.35374545454545453,lag_adjusted,-0.3669709428648401,3.6914164752767094,True,stable/up
Zayed City,townhouse / attached villa,2 beds,203,15997.088489900609,15960.644214588458,1311.2127591233616,124.76,120.89,124.97,1984830.88,24,17401.685252246592,30,14414.128564743442,8.78032751542721,-9.895300173881838,18.675627689309046,16.916666666666668,14.591999999999999,0.8625812807881772,lag_adjusted,14.168833738207177,25.21895819000407,False,resilient
Zayed City,townhouse / attached villa,3 beds,236,16146.195140760563,16015.322803007652,1222.0585066659003,151.91,151.49,171.49,2501729.165,19,17136.444649811867,27,14639.776171601772,6.133020816473667,-9.329869706305505,15.462890522779173,19.666666666666668,11.552,0.5873898305084745,lag_adjusted,10.364284073795204,17.63150646418236,False,resilient
Zayed City,villa,3 beds,61,16674.85994512231,15704.709120928293,2284.8128657631655,171.29,171.29,253.65,3033693.63,50,16142.240529780442,2,12937.1180760891,-3.1941462602668946,,-3.1941462602668946,5.083333333333333,30.4,5.980327868852459,lag_adjusted,-3.8778316850936134,-2.658403544784692,False,soft
Zayed City,villa,4 beds,44,14555.236097916273,14489.212046979392,1029.6145364765432,315.78,315.78,316.09,4596252.455,26,16174.645311016138,12,14772.904379631389,11.125956337676302,1.4954637647291547,9.630492572947148,3.6666666666666665,15.807999999999998,4.311272727272727,lag_adjusted,6.913744059931948,11.438448975512232,False,resilient
